EDH_labels,EDCS_labels
epitaph,tituli sepulcrales
honorific inscription,tituli honorarii
votive inscription,tituli sacri
defixio,defixiones
owner/artist inscription,tituli possessionis
mile-/leaguestone,miliaria
acclamation,
boundary inscription,termini
building/dedicatory inscription,tituli operum
NULL,
military diploma,diplomata militaria
identification inscription,
public legal inscription,leges; senatus consulta
private legal inscription,leges
label,
list,
calendar,
seat inscription,
elogium,
assignation inscription,
prayer,
letter,
adnuntiatio,
,inscriptiones christianae
,carmina
,signaculum
,reges
